code	codeNameUkr	codeNameEng
10	"ПРОДУКЦІЯ РОСЛИННИЦТВА - всього (0020, 0040 - 0120)"	Total arible land processing
20	зернові та зернобобові культури - всього (0025-0037)	Grains and pulses
25	пшениця озима	"Wheat, winter"
21	пшениця яра	"Wheat, summer"
26	жито	Barley
27	гречка	
30	кукурудза на зерно	Maize
31	ячмінь озимий	
23	ячмінь ярий	
32	горох	
33	овес	
34	просо	
35	сорго	
37	рис	
36	інші зернові та зернобобові	
40	соняшник	
41	соя	
42	ріпак озимий	
43	ріпак ярий	
44	льон-довгунець - насіння	
45	льон-довгунець - соломка	
46	льон-довгунець - треста	
50	цукровий буряк (фабричні)	
60	картопля	
70	овочі відкритого ґрунту	
71	овочі закритого ґрунту	
75	"баштанні продовольчі (кавуни, дині)"	
80	"плоди (зерняткові, кісточкові)"	
90	виноград	
95	ягоди	
100	хміль	
105	кормові коренеплоди і кормові баштанні	
107	силос	
110	сінаж	
120	інша продукція рослинництва	
130	ПРОДУКЦІЯ ТВАРИННИЦТВА - всього (0140 - 0210)	
140	великої рогатої худоби	
150	свиней	
160	овець	
161	кіз	
170	птиці	
180	молоко	
190	вовна	
200	яйця курячі (тис. штук)	
201	"мед, кг"	
204	інша продукція бджільництва	
210	інша продукція тваринництва	
212	ПОСЛУГИ В СІЛЬСЬКОМУ ГОСПОДАРСТВІ 	
216	"ПРОДУКЦІЯ СІЛЬСЬКОГО ГОСПОДАРСТВА І ПОСЛУГИ - всього (0010, 0130, 0212)"	
215	ПРОДУКЦІЯ РИБНИЦТВА	
601	Витрати - Пшениця	
602	Витрати - Жито	
603	Витрати - Кукурудза на зерно	
604	Витрати - Ячмінь	
605	Витрати - Овес	
606	Витрати - Соняшник на зерно	
607	Витрати - Соя 	
608	Витрати - Ріпак	
609	Витрати - Насіння льону-довгунця	
610	Витрати - Цукрові буряки (фабричні)	
611	Витрати - Хміль	
612	Витрати - Привіси живої ваги великої рогатої худоби	
613	Витрати - свиней	
614	Витрати - овець	
615	Витрати - кіз	
616	Витрати - птиці	
617	Витрати - Молоко	
618	Витрати - Вовна	
619	Витрати - Яйця курячі	
280	Витрати на оплату праці	
285	Відрахування на соціальні заходи	
290	"Витрати - Матеріальні витрати, які увійшли до собівартості продукції (сума кодів 0295, 0300, 0305 - 0335)"	
295	Витрати - насіння та посадковий матеріал	
300	Витрати - корми - всього	
301	Витрати - з них корми покупні	
305	"Витрати - інша продукція сільського господарства (гній, підстилка, яйця для інкубації)"	
310	Витрати - мінеральні добрива	
315	Витрати - нафтопродукти	
320	Витрати - електроенергія	
325	Витрати - паливо	
330	"Витрати - запасні частини, ремонтні та будівельні матеріали для ремонту"	
335	"Витрати - оплата послуг і робіт, що виконані сторонніми організаціями, та інші матеріальні витрати"	
340	Витрати - Амортизація основних засобів	
345	"Витрати - Інші витрати, включаючи плату за оренду"	
350	Витрати - земельні частки (паї)	
351	Витрати - майнові паї	
355	"Витрати - Усього витрат (сума кодів 0280, 0285, 0290, 0340, 0345)"	
700	Держпідтримка - Отримано коштів за звітний рік - всього	
701	Держпідтримка - для підтримки виробництва продукції рослинництва:	
702	Держпідтримка - озимих зернових культур	
703	Держпідтримка - у т. ч. пшениці	
704	Держпідтримка - ярих зернових та зернобобових культур	
705	Держпідтримка - у т. ч. пшениці	
706	Держпідтримка - ріпаку (озимого і ярого)	
707	Держпідтримка - льону-довгунця	
708	Держпідтримка - конопель	
709	Держпідтримка - іншої продукції	
271	Держпідтримка - для розвитку тваринництва:	
273	Держпідтримка - за велику рогату худобу	
274	Держпідтримка - за свиней	
275	Держпідтримка - за птицю всіх видів	
272	Держпідтримка - за молоко	
276	Держпідтримка - за інше	
710	Держпідтримка - для здійснення заходів з відтворення водних живих ресурсів	
720	Держпідтримка - за іншими видами (напрямами) державної підтримки	
400	Середньооблікова чисельність працівників - всього	
410	Середньооблікова чисельність працівників - у тому числі в рослинництві	
411	Середньооблікова чисельність працівників - в тваринництві	
450	Площа сільськогосподарських угідь - всього	
451	Площа сільськогосподарських угідь - у тому числі рілля 	
